#   2 + 116Sn elastic scattering Elab=183 Mev
# --------- Potential Spin-orbit for projectile and multipole = 0 ---------  
#     r(fm)       V(MeV)       W(MeV)
       4.81        -0.2232     0.0000E+00
       4.82        -0.2233     0.0000E+00
       4.83        -0.2234     0.0000E+00
       4.84        -0.2236     0.0000E+00
       4.85        -0.2237     0.0000E+00
       4.86        -0.2238     0.0000E+00
       4.87        -0.2239     0.0000E+00
       4.88        -0.2240     0.0000E+00
       4.89        -0.2241     0.0000E+00
       4.90        -0.2242     0.0000E+00
       4.91        -0.2242     0.0000E+00
       4.92        -0.2243     0.0000E+00
       4.93        -0.2244     0.0000E+00
       4.94        -0.2244     0.0000E+00
       4.95        -0.2245     0.0000E+00
       4.96        -0.2245     0.0000E+00
       4.97        -0.2246     0.0000E+00
       4.98        -0.2246     0.0000E+00
       4.99        -0.2246     0.0000E+00
       5.00        -0.2246     0.0000E+00
       5.01        -0.2246     0.0000E+00
       5.02        -0.2246     0.0000E+00
       5.03        -0.2246     0.0000E+00
       5.04        -0.2246     0.0000E+00
       5.05        -0.2246     0.0000E+00
       5.06        -0.2245     0.0000E+00
       5.07        -0.2245     0.0000E+00
       5.08        -0.2244     0.0000E+00
       5.09        -0.2244     0.0000E+00
       5.10        -0.2243     0.0000E+00
       5.11        -0.2243     0.0000E+00
       5.12        -0.2242     0.0000E+00
       5.13        -0.2241     0.0000E+00
       5.14        -0.2240     0.0000E+00
       5.15        -0.2239     0.0000E+00
       5.16        -0.2238     0.0000E+00
       5.17        -0.2237     0.0000E+00
       5.18        -0.2235     0.0000E+00
       5.19        -0.2234     0.0000E+00
       5.20        -0.2233     0.0000E+00
       5.21        -0.2231     0.0000E+00
       5.22        -0.2230     0.0000E+00
       5.23        -0.2228     0.0000E+00
       5.24        -0.2226     0.0000E+00
       5.25        -0.2225     0.0000E+00
       5.26        -0.2223     0.0000E+00
       5.27        -0.2221     0.0000E+00
       5.28        -0.2219     0.0000E+00
       5.29        -0.2217     0.0000E+00
       5.30        -0.2215     0.0000E+00
       5.31        -0.2212     0.0000E+00
       5.32        -0.2210     0.0000E+00
       5.33        -0.2208     0.0000E+00
       5.34        -0.2205     0.0000E+00
       5.35        -0.2203     0.0000E+00
       5.36        -0.2200     0.0000E+00
       5.37        -0.2197     0.0000E+00
       5.38        -0.2195     0.0000E+00
       5.39        -0.2192     0.0000E+00
       5.40        -0.2189     0.0000E+00
       5.41        -0.2186     0.0000E+00
       5.42        -0.2183     0.0000E+00
       5.43        -0.2180     0.0000E+00
       5.44        -0.2176     0.0000E+00
       5.45        -0.2173     0.0000E+00
       5.46        -0.2170     0.0000E+00
       5.47        -0.2166     0.0000E+00
       5.48        -0.2163     0.0000E+00
       5.49        -0.2159     0.0000E+00
