#   2H + 116Sn elastic scattering Elab=183 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       3.69       -39.4231       -16.9203
       3.70       -39.4206       -16.9191
       3.71       -39.4180       -16.9179
       3.72       -39.4154       -16.9168
       3.73       -39.4126       -16.9155
       3.74       -39.4098       -16.9143
       3.75       -39.4068       -16.9131
       3.76       -39.4038       -16.9119
       3.77       -39.4007       -16.9106
       3.78       -39.3975       -16.9093
       3.79       -39.3943       -16.9080
       3.80       -39.3909       -16.9067
       3.81       -39.3874       -16.9054
       3.82       -39.3839       -16.9041
       3.83       -39.3802       -16.9027
       3.84       -39.3765       -16.9014
       3.85       -39.3726       -16.9000
       3.86       -39.3687       -16.8986
       3.87       -39.3646       -16.8972
       3.88       -39.3605       -16.8957
       3.89       -39.3562       -16.8943
       3.90       -39.3519       -16.8928
       3.91       -39.3474       -16.8913
       3.92       -39.3428       -16.8899
       3.93       -39.3381       -16.8883
       3.94       -39.3334       -16.8868
       3.95       -39.3285       -16.8853
       3.96       -39.3235       -16.8837
       3.97       -39.3183       -16.8821
       3.98       -39.3131       -16.8805
       3.99       -39.3077       -16.8789
       4.00       -39.3022       -16.8772
       4.01       -39.2966       -16.8756
       4.02       -39.2909       -16.8739
       4.03       -39.2851       -16.8722
       4.04       -39.2791       -16.8705
       4.05       -39.2730       -16.8687
       4.06       -39.2668       -16.8670
       4.07       -39.2604       -16.8652
       4.08       -39.2539       -16.8634
       4.09       -39.2473       -16.8616
       4.10       -39.2405       -16.8598
       4.11       -39.2336       -16.8579
       4.12       -39.2266       -16.8560
       4.13       -39.2194       -16.8541
       4.14       -39.2121       -16.8522
       4.15       -39.2046       -16.8502
       4.16       -39.1970       -16.8483
       4.17       -39.1892       -16.8463
       4.18       -39.1813       -16.8443
       4.19       -39.1733       -16.8422
       4.20       -39.1651       -16.8402
       4.21       -39.1567       -16.8381
       4.22       -39.1482       -16.8360
       4.23       -39.1395       -16.8338
       4.24       -39.1306       -16.8317
       4.25       -39.1216       -16.8295
       4.26       -39.1124       -16.8273
       4.27       -39.1031       -16.8250
       4.28       -39.0936       -16.8228
       4.29       -39.0839       -16.8205
       4.30       -39.0740       -16.8182
       4.31       -39.0640       -16.8158
       4.32       -39.0538       -16.8135
       4.33       -39.0434       -16.8111
       4.34       -39.0328       -16.8087
       4.35       -39.0220       -16.8062
       4.36       -39.0111       -16.8038
       4.37       -39.0000       -16.8013
       4.38       -38.9886       -16.7987
       4.39       -38.9771       -16.7962
       4.40       -38.9654       -16.7936
       4.41       -38.9535       -16.7910
       4.42       -38.9414       -16.7883
       4.43       -38.9290       -16.7856
       4.44       -38.9165       -16.7829
       4.45       -38.9038       -16.7802
       4.46       -38.8908       -16.7774
       4.47       -38.8777       -16.7746
       4.48       -38.8643       -16.7718
       4.49       -38.8507       -16.7689
       4.50       -38.8369       -16.7660
       4.51       -38.8229       -16.7631
       4.52       -38.8086       -16.7601
       4.53       -38.7941       -16.7571
       4.54       -38.7794       -16.7541
       4.55       -38.7645       -16.7510
       4.56       -38.7493       -16.7479
       4.57       -38.7339       -16.7448
       4.58       -38.7182       -16.7416
       4.59       -38.7023       -16.7384
       4.60       -38.6861       -16.7351
       4.61       -38.6697       -16.7318
       4.62       -38.6531       -16.7285
       4.63       -38.6362       -16.7252
       4.64       -38.6190       -16.7218
       4.65       -38.6016       -16.7183
       4.66       -38.5839       -16.7149
       4.67       -38.5659       -16.7114
       4.68       -38.5477       -16.7078
       4.69       -38.5292       -16.7042
       4.70       -38.5104       -16.7006
       4.71       -38.4913       -16.6969
       4.72       -38.4720       -16.6932
       4.73       -38.4524       -16.6894
       4.74       -38.4325       -16.6856
       4.75       -38.4123       -16.6818
       4.76       -38.3917       -16.6779
       4.77       -38.3710       -16.6740
       4.78       -38.3498       -16.6700
       4.79       -38.3284       -16.6660
       4.80       -38.3067       -16.6619
       4.81       -38.2847       -16.6578
       4.82       -38.2624       -16.6537
       4.83       -38.2397       -16.6495
       4.84       -38.2168       -16.6452
       4.85       -38.1935       -16.6409
       4.86       -38.1698       -16.6366
       4.87       -38.1459       -16.6322
       4.88       -38.1216       -16.6277
       4.89       -38.0970       -16.6232
       4.90       -38.0720       -16.6187
       4.91       -38.0467       -16.6141
       4.92       -38.0210       -16.6095
       4.93       -37.9950       -16.6048
       4.94       -37.9687       -16.6000
       4.95       -37.9419       -16.5952
       4.96       -37.9148       -16.5904
       4.97       -37.8874       -16.5855
       4.98       -37.8596       -16.5805
       4.99       -37.8314       -16.5755
       5.00       -37.8028       -16.5704
       5.01       -37.7738       -16.5653
       5.02       -37.7445       -16.5601
       5.03       -37.7148       -16.5548
       5.04       -37.6846       -16.5495
       5.05       -37.6541       -16.5442
       5.06       -37.6232       -16.5388
       5.07       -37.5919       -16.5333
       5.08       -37.5601       -16.5277
       5.09       -37.5280       -16.5221
       5.10       -37.4955       -16.5165
       5.11       -37.4625       -16.5107
       5.12       -37.4291       -16.5050
       5.13       -37.3952       -16.4991
       5.14       -37.3610       -16.4932
       5.15       -37.3263       -16.4872
       5.16       -37.2912       -16.4811
       5.17       -37.2556       -16.4750
       5.18       -37.2195       -16.4688
       5.19       -37.1831       -16.4626
       5.20       -37.1461       -16.4563
       5.21       -37.1088       -16.4499
       5.22       -37.0709       -16.4434
       5.23       -37.0326       -16.4369
       5.24       -36.9938       -16.4303
       5.25       -36.9545       -16.4236
       5.26       -36.9147       -16.4169
       5.27       -36.8745       -16.4101
       5.28       -36.8338       -16.4032
       5.29       -36.7926       -16.3962
       5.30       -36.7508       -16.3892
       5.31       -36.7086       -16.3821
       5.32       -36.6659       -16.3749
       5.33       -36.6227       -16.3676
       5.34       -36.5789       -16.3602
       5.35       -36.5347       -16.3528
       5.36       -36.4899       -16.3453
       5.37       -36.4446       -16.3377
       5.38       -36.3987       -16.3300
       5.39       -36.3523       -16.3223
       5.40       -36.3054       -16.3144
       5.41       -36.2579       -16.3065
       5.42       -36.2099       -16.2985
       5.43       -36.1614       -16.2904
       5.44       -36.1122       -16.2822
       5.45       -36.0626       -16.2739
       5.46       -36.0123       -16.2656
       5.47       -35.9615       -16.2571
       5.48       -35.9101       -16.2486
       5.49       -35.8581       -16.2400
       5.50       -35.8056       -16.2312
       5.51       -35.7525       -16.2224
       5.52       -35.6987       -16.2135
       5.53       -35.6444       -16.2045
       5.54       -35.5895       -16.1954
       5.55       -35.5340       -16.1862
       5.56       -35.4778       -16.1769
       5.57       -35.4211       -16.1675
       5.58       -35.3637       -16.1581
       5.59       -35.3058       -16.1485
       5.60       -35.2472       -16.1388
       5.61       -35.1879       -16.1290
       5.62       -35.1281       -16.1191
       5.63       -35.0676       -16.1091
       5.64       -35.0065       -16.0990
       5.65       -34.9447       -16.0888
       5.66       -34.8823       -16.0785
       5.67       -34.8192       -16.0680
       5.68       -34.7555       -16.0575
       5.69       -34.6911       -16.0469
       5.70       -34.6260       -16.0361
       5.71       -34.5603       -16.0253
       5.72       -34.4939       -16.0143
       5.73       -34.4269       -16.0032
       5.74       -34.3591       -15.9920
       5.75       -34.2907       -15.9807
       5.76       -34.2216       -15.9693
       5.77       -34.1518       -15.9577
       5.78       -34.0813       -15.9460
       5.79       -34.0101       -15.9342
       5.80       -33.9383       -15.9223
       5.81       -33.8657       -15.9103
       5.82       -33.7924       -15.8982
