 #b(fm)                     Theta(deg)                 Theta(Rutherford)(deg)
   16.300000242888927        1.4058403522782390        1.4067555218717871     
   16.400000244379044        1.3973682658227597        1.3981785982260817     
   16.500000245869160        1.3889881299761238        1.3897056219079786     
   16.600000247359276        1.3806994376348398        1.3813347147186619     
   16.700000248849392        1.3725015703510675        1.3730640434351074     
   16.800000250339508        1.3643938145769061        1.3648918184721310     
   16.900000251829624        1.3563753761210831        1.3568162925914180     
   17.000000253319740        1.3484453931863796        1.3488357596566516     
   17.100000254809856        1.3406029473636121        1.3409485534319288     
   17.200000256299973        1.3328470734410982        1.3331530464220691     
   17.300000257790089        1.3251767683252487        1.3254476487534816     
   17.400000259280205        1.3175909983137570        1.3178308070931735     
   17.500000260770321        1.3100887058198267        1.3103010036050478     
   17.600000262260437        1.3026688150254682        1.3028567549418710     
   17.700000263750553        1.2953302371718283        1.2954966112710338     
   17.800000265240669        1.2880718746882127        1.2882191553335076     
   17.900000266730785        1.2808926251470931        1.2810230015343507     
   18.000000268220901        1.2737913845208426        1.2739067950629703     
   18.100000269711018        1.2667670499435757        1.2668692110433710     
   18.200000271201134        1.2598185223761236        1.2599089537116299     
   18.300000272691250        1.2529447084459717        1.2530247556209133     
   18.400000274181366        1.2461445225049004        1.2462153768721009     
   18.500000275671482        1.2394168879614849        1.2394796043693077     
   18.600000277161598        1.2327607387834114        1.2328162510997913     
   18.700000278651714        1.2261750203992532        1.2262241554363982     
   18.800000280141830        1.2196586907294791        1.2197021804629173     
 # Nuclear rainbow at b    7.2000001072883606       and angle  -24.828511751529906      , with semiclassical correction  -11.974686427158412     
 # Coulomb rainbow at b    12.200000181794167       and angle   1.7474175802477332      , with semiclassical correction -0.83562396928183602     
 # Sommerfeld parameter:  0.82340580270483321     
